Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
jan/17;SENAC;33.469.172/0001-68;362.480.165,00
jan/17;SESC;33.469.164/0001-11;659.533.185,00
jan/17;SEBRAE;00.330.854/0001-45;436.906.000,00
jan/17;EMBRATUR;35.842.428/0001-66;0
jan/17;DPC;852001 / 00001;20.281.534,00
jan/17;ANAC;122002 / 00001;32.072.735,00
jan/17;SENAR;37.138.245/0001-90;54.514.766,00
jan/17;SEST;73.471.989/0001-95;61.283.907,00
jan/17;SENAT;73.471.963/0001-47;39.525.947,00
jan/17;SESCOOP;03.087.543/0001-86;48.653.186,00
jan/17;SDR;420013 / 00001;33.978.648,00
jan/17;APEX-BR;05.507.500/0001-38;63.692.770,00
jan/17;ABDI;07.200.966/0001-11;10.398.892,00
fev/17;FNDE;153173 / 15253;1.565.756.519,00
fev/17;INCRA;373001 / 37201;111.163.163,00
fev/17;SENAI;33.564.543/0001-90;118.256.846,00
fev/17;SESI;33.641.358/0001-52;167.938.770,00
fev/17;SENAC;33.469.172/0001-68;213.183.588,00
fev/17;SESC;33.469.164/0001-11;386.724.661,00
fev/17;SEBRAE;00.330.854/0001-45;255.305.221,00
fev/17;EMBRATUR;35.842.428/0001-66;0
fev/17;DPC;852001 / 00001;12.550.428,00
fev/17;ANAC;122002 / 00001;17.528.165,00
fev/17;SENAR;37.138.245/0001-90;49.945.186,00
fev/17;SEST;73.471.989/0001-95;37.692.320,00
fev/17;SENAT;73.471.963/0001-47;23.651.156,00
fev/17;SESCOOP;03.087.543/0001-86;27.300.094,00
fev/17;SDR;420013 / 00001;19.603.138,00
fev/17;APEX-BR;05.507.500/0001-38;36.988.184,00
fev/17;ABDI;07.200.966/0001-11;6.038.874,00
mar/17;FNDE;153173 / 15253;1.548.248.317,00
mar/17;INCRA;373001 / 37201;109.309.496,00
mar/17;SENAI;33.564.543/0001-90;112.145.703,00
mar/17;SESI;33.641.358/0001-52;160.025.709,00
mar/17;SENAC;33.469.172/0001-68;208.339.070,00
mar/17;SESC;33.469.164/0001-11;379.113.965,00
mar/17;SEBRAE;00.330.854/0001-45;249.394.900,00
mar/17;EMBRATUR;35.842.428/0001-66;0
mar/17;DPC;852001 / 00001;11.795.997,00
